Entity,Code,Year,Total population (Fink-Jensen 2015)
Dominica,DMA,1800,19.95
Dominica,DMA,1820,19.95
Dominica,DMA,1840,22
Dominica,DMA,1860,25
Dominica,DMA,1870,27
Dominica,DMA,1880,28
Dominica,DMA,1890,27
Dominica,DMA,1900,29
Dominica,DMA,1910,34
Dominica,DMA,1920,37
Dominica,DMA,1930,43
Dominica,DMA,1940,48
Dominica,DMA,1950,51.423
Dominica,DMA,1960,60.256
Dominica,DMA,1970,70.764
Dominica,DMA,1980,74
Dominica,DMA,1990,70
Dominica,DMA,2000,71
Dominican Republic,DOM,1650,70
Dominican Republic,DOM,1700,100
Dominican Republic,DOM,1750,130
Dominican Republic,DOM,1800,150
Dominican Republic,DOM,1820,89
Dominican Republic,DOM,1850,146
Dominican Republic,DOM,1870,242
Dominican Republic,DOM,1900,515
Dominican Republic,DOM,1910,688
Dominican Republic,DOM,1920,879
Dominican Republic,DOM,1930,1256
Dominican Republic,DOM,1940,1674
Dominican Republic,DOM,1950,2352.968
Dominican Republic,DOM,1960,3231.488
Dominican Republic,DOM,1970,4422.755
Dominican Republic,DOM,1980,5696.855
Dominican Republic,DOM,1990,7083
Dominican Republic,DOM,2000,8410
Ecuador,ECU,1500,600
Ecuador,ECU,1550,550
Ecuador,ECU,1600,500
Ecuador,ECU,1650,500
Ecuador,ECU,1700,500
Ecuador,ECU,1750,500
Ecuador,ECU,1800,500
Ecuador,ECU,1820,500
Ecuador,ECU,1850,816
Ecuador,ECU,1870,1013
Ecuador,ECU,1900,1400
Ecuador,ECU,1910,1617
Ecuador,ECU,1920,1790
Ecuador,ECU,1930,1944
Ecuador,ECU,1940,2466
Ecuador,ECU,1950,3369.955
Ecuador,ECU,1960,4415.956
Ecuador,ECU,1970,5939.246
Ecuador,ECU,1980,7920.499
Ecuador,ECU,1990,10318.036
Ecuador,ECU,2000,12446
Egypt,EGY,1500,4000
Egypt,EGY,1600,5000
Egypt,EGY,1700,4500
Egypt,EGY,1800,3500
Egypt,EGY,1820,4194
Egypt,EGY,1840,4476
Egypt,EGY,1850,5683.84583391
Egypt,EGY,1860,6284.78382199
Egypt,EGY,1870,6949.25739425
Egypt,EGY,1880,7683.984
Egypt,EGY,1890,8799.25388348
Egypt,EGY,1900,10176.3057099
Egypt,EGY,1910,11698.5116994
Egypt,EGY,1920,13139.4645055
Egypt,EGY,1930,14679.848822799999
Egypt,EGY,1940,16812.1814609
Egypt,EGY,1950,21834
Egypt,EGY,1960,27840
Egypt,EGY,1970,33574.026
Egypt,EGY,1980,42634.215
Egypt,EGY,1990,56683
Egypt,EGY,2000,70512
El Salvador,SLV,1800,248
El Salvador,SLV,1810,165
El Salvador,SLV,1820,248
El Salvador,SLV,1850,366
El Salvador,SLV,1870,492
El Salvador,SLV,1880,613
El Salvador,SLV,1890,704
El Salvador,SLV,1900,766
El Salvador,SLV,1910,946
El Salvador,SLV,1920,1170
El Salvador,SLV,1930,1440
El Salvador,SLV,1940,1630
El Salvador,SLV,1950,1939.8
El Salvador,SLV,1960,2581.583
El Salvador,SLV,1970,3603.907
El Salvador,SLV,1980,4566.1990000000005
El Salvador,SLV,1990,5099.884
El Salvador,SLV,2000,6126
Equatorial Guinea,GNQ,1800,80.377
Equatorial Guinea,GNQ,1820,80.377
Equatorial Guinea,GNQ,1850,108.342275717
Equatorial Guinea,GNQ,1860,115.02116467799999
Equatorial Guinea,GNQ,1870,122.111781725
Equatorial Guinea,GNQ,1880,130.933951136
Equatorial Guinea,GNQ,1890,140.393492895
Equatorial Guinea,GNQ,1900,133.529673344
Equatorial Guinea,GNQ,1910,120.761843054
Equatorial Guinea,GNQ,1920,113.70866914
Equatorial Guinea,GNQ,1930,129.386221469
Equatorial Guinea,GNQ,1940,145.778391903
Equatorial Guinea,GNQ,1950,226
Equatorial Guinea,GNQ,1960,252
Equatorial Guinea,GNQ,1970,270.435
Equatorial Guinea,GNQ,1980,256.009
Equatorial Guinea,GNQ,1990,371
Equatorial Guinea,GNQ,2000,491
Eritrea,ERI,1800,205.01
Eritrea,ERI,1820,205.01
Eritrea,ERI,1850,700.6632285039999
Eritrea,ERI,1860,700.6632285039999
Eritrea,ERI,1870,700.6632285039999
Eritrea,ERI,1880,707.7014748610001
Eritrea,ERI,1890,714.8104212489999
Eritrea,ERI,1900,721.990777858
Eritrea,ERI,1910,774.1522062239999
Eritrea,ERI,1920,821.875743415
Eritrea,ERI,1930,907.862130515
Eritrea,ERI,1940,983.162311395
Eritrea,ERI,1950,1141
Eritrea,ERI,1960,1424
Eritrea,ERI,1970,2160.46
Eritrea,ERI,1980,2568.741
Eritrea,ERI,1990,3138
Eritrea,ERI,2000,4197
Estonia,EST,1800,334.13599999999997
Estonia,EST,1820,334.13599999999997
Estonia,EST,1910,986
Estonia,EST,1920,1115
Estonia,EST,1930,1124
Estonia,EST,1940,1122
Estonia,EST,1950,1095.61
Estonia,EST,1960,1210.647
Estonia,EST,1970,1363.183
Estonia,EST,1980,1482.1960000000001
Estonia,EST,1990,1569.3220000000001
Estonia,EST,2000,1379.835
Eswatini,SWZ,1800,86
Eswatini,SWZ,1850,66.1598612917
Eswatini,SWZ,1860,73.1547684545
Eswatini,SWZ,1870,80.88922865239999
Eswatini,SWZ,1880,89.4414328719
Eswatini,SWZ,1890,98.89783902559999
Eswatini,SWZ,1900,109.35404599299999
Eswatini,SWZ,1910,128.729708806
Eswatini,SWZ,1920,150.13904323
Eswatini,SWZ,1930,184.851089402
Eswatini,SWZ,1940,225.740521173
Eswatini,SWZ,1950,273
Eswatini,SWZ,1960,347.08099999999996
Eswatini,SWZ,1970,455.145
Eswatini,SWZ,1980,611.447
Eswatini,SWZ,1990,884.6160000000001
Eswatini,SWZ,2000,1109.75
Ethiopia,ETH,1850,18434
Ethiopia,ETH,1860,18434
Ethiopia,ETH,1870,18434
Ethiopia,ETH,1880,18434
Ethiopia,ETH,1890,18434
Ethiopia,ETH,1900,18434
Ethiopia,ETH,1910,18434
Ethiopia,ETH,1920,18434
Ethiopia,ETH,1930,18434
Ethiopia,ETH,1940,18434
Ethiopia,ETH,1950,18434
Ethiopia,ETH,1960,22942
Ethiopia,ETH,1970,29468.504
Ethiopia,ETH,1980,36036
Ethiopia,ETH,1990,48397
Ethiopia,ETH,2000,64165
Fiji,FJI,1700,118.803
Fiji,FJI,1800,130.533
Fiji,FJI,1840,140
Fiji,FJI,1850,137
Fiji,FJI,1880,127
Fiji,FJI,1890,121
Fiji,FJI,1900,120
Fiji,FJI,1910,140
Fiji,FJI,1920,157
Fiji,FJI,1930,198
Fiji,FJI,1940,260
Fiji,FJI,1950,287.348
Fiji,FJI,1960,393.348
Fiji,FJI,1970,521
Fiji,FJI,1980,634.506
Fiji,FJI,1990,738.09
Fiji,FJI,2000,833
Finland,FIN,1500,300
Finland,FIN,1600,400
Finland,FIN,1700,400
Finland,FIN,1800,800
Finland,FIN,1820,1169
Finland,FIN,1830,1364
Finland,FIN,1840,1441
Finland,FIN,1850,1628
Finland,FIN,1860,1738
Finland,FIN,1870,1754
Finland,FIN,1880,2047
Finland,FIN,1890,2364
Finland,FIN,1900,2646
Finland,FIN,1910,2929
Finland,FIN,1920,3133
Finland,FIN,1930,3449
Finland,FIN,1940,3698
Finland,FIN,1950,4008.9
Finland,FIN,1960,4429.6
Finland,FIN,1970,4606.307
Finland,FIN,1980,4779.535
Finland,FIN,1990,4986.431
Finland,FIN,2000,5168.595
France,FRA,1500,15000
France,FRA,1600,18500
France,FRA,1650,21000
France,FRA,1700,21471
France,FRA,1750,24000
France,FRA,1800,29000
France,FRA,1820,31250
France,FRA,1830,33300
France,FRA,1840,34900
France,FRA,1850,36350
France,FRA,1860,37300
France,FRA,1870,38440
France,FRA,1880,39045
France,FRA,1890,40014
France,FRA,1900,40598
France,FRA,1910,41224
France,FRA,1920,39000
France,FRA,1930,41610
France,FRA,1940,41000
France,FRA,1950,42518
France,FRA,1960,46584
France,FRA,1970,51918
France,FRA,1980,55110
France,FRA,1990,58168
France,FRA,2000,61137
Gabon,GAB,1800,158.227
Gabon,GAB,1820,158.227
Gabon,GAB,1850,297.399724395
Gabon,GAB,1860,315.733285539
Gabon,GAB,1870,335.197040953
Gabon,GAB,1880,359.413910443
Gabon,GAB,1890,385.380368074
Gabon,GAB,1900,366.53917215800004
Gabon,GAB,1910,331.491457088
Gabon,GAB,1920,312.130483137
Gabon,GAB,1930,355.165389973
Gabon,GAB,1940,400.161924676
Gabon,GAB,1950,469
Gabon,GAB,1960,486
Gabon,GAB,1970,514.597
Gabon,GAB,1980,713.502
Gabon,GAB,1990,938
Gabon,GAB,2000,1236
Gambia,GMB,1800,103.274
Gambia,GMB,1820,103.274
Gambia,GMB,1850,112.066915975
Gambia,GMB,1860,118.97541483200001
Gambia,GMB,1870,126.309796352
Gambia,GMB,1880,138.149302737
Gambia,GMB,1890,151.098571907
Gambia,GMB,1900,162.014940338
Gambia,GMB,1910,173.71998002
Gambia,GMB,1920,184.429155632
Gambia,GMB,1930,214.037564436
Gambia,GMB,1940,245.962869133
Gambia,GMB,1950,294
Gambia,GMB,1960,360
Gambia,GMB,1970,484.58
Gambia,GMB,1980,670.523
Gambia,GMB,1990,949.255
Gambia,GMB,2000,1367.884
Georgia,GEO,1800,1072.178
Georgia,GEO,1820,1072.178
Georgia,GEO,1950,3515.6020000000003
Georgia,GEO,1960,4146.57
Georgia,GEO,1970,4694.491
Georgia,GEO,1980,5045.697
Georgia,GEO,1990,5426.206999999999
Georgia,GEO,2000,4777.209
Germany,DEU,1500,12000
Germany,DEU,1600,16000
Germany,DEU,1650,11000
Germany,DEU,1700,15000
Germany,DEU,1750,15000
Germany,DEU,1800,18000
Germany,DEU,1820,24905
Germany,DEU,1830,28045
Germany,DEU,1840,31126
Germany,DEU,1850,33746
Germany,DEU,1860,36049
Germany,DEU,1870,39231
Germany,DEU,1880,43500
Germany,DEU,1890,47607
Germany,DEU,1900,54388
Germany,DEU,1910,62884
Germany,DEU,1920,60894
Germany,DEU,1930,65084
Germany,DEU,1940,69835
Germany,DEU,1950,68374.572
Germany,DEU,1960,72480.869
Germany,DEU,1970,77783.164
Germany,DEU,1980,78297.90400000001
Germany,DEU,1990,79380.394
Germany,DEU,2000,82187.909
Ghana,GHA,1800,2016.0339999999999
Ghana,GHA,1820,2016.0339999999999
Ghana,GHA,1850,1981.04728762
Ghana,GHA,1860,2093.09780678
Ghana,GHA,1870,2211.64554291
Ghana,GHA,1880,2365.90051525
Ghana,GHA,1890,2564.87551888
Ghana,GHA,1900,2799.90660598
Ghana,GHA,1910,3056.57904562
Ghana,GHA,1920,3288.98660877
Ghana,GHA,1930,3817.00323244
Ghana,GHA,1940,4386.33783287
Ghana,GHA,1950,5243
Ghana,GHA,1960,7126
Ghana,GHA,1970,8788.945
Ghana,GHA,1980,11017
Ghana,GHA,1990,15414
Ghana,GHA,2000,19736
Greece,GRC,1500,1000
Greece,GRC,1600,1500
Greece,GRC,1700,1500
Greece,GRC,1800,2250
Greece,GRC,1820,2312
Greece,GRC,1830,2534
Greece,GRC,1840,2777
Greece,GRC,1850,3044
Greece,GRC,1860,3336
Greece,GRC,1870,3657
Greece,GRC,1880,4049
Greece,GRC,1890,4482
Greece,GRC,1900,4962
Greece,GRC,1910,5320
Greece,GRC,1920,5700
Greece,GRC,1930,6351
Greece,GRC,1940,7280
Greece,GRC,1950,7566.028
Greece,GRC,1960,8327.405
Greece,GRC,1970,8792.806
Greece,GRC,1980,9642.505
Greece,GRC,1990,10129.603000000001
Greece,GRC,2000,10559.11
Grenada,GRD,1800,29.409000000000002
Grenada,GRD,1820,29.409000000000002
Grenada,GRD,1850,33
Grenada,GRD,1860,32
Grenada,GRD,1870,38
Grenada,GRD,1880,42
Grenada,GRD,1890,53
Grenada,GRD,1900,63
Grenada,GRD,1910,67
Grenada,GRD,1920,66
Grenada,GRD,1930,79
Grenada,GRD,1940,90
Grenada,GRD,1950,75.806
Grenada,GRD,1960,90.148
Grenada,GRD,1970,95.41
Grenada,GRD,1980,90.164
Grenada,GRD,1990,92.36
Grenada,GRD,2000,89.31200000000001
Guatemala,GTM,1750,315
Guatemala,GTM,1820,595
Guatemala,GTM,1840,706
Guatemala,GTM,1850,850
Guatemala,GTM,1870,1080
Guatemala,GTM,1880,1225
Guatemala,GTM,1890,1364
Guatemala,GTM,1900,1300
Guatemala,GTM,1910,1441
Guatemala,GTM,1920,1597
Guatemala,GTM,1930,1771
Guatemala,GTM,1940,2200
Guatemala,GTM,1950,2968.9759999999997
Guatemala,GTM,1960,4100
Guatemala,GTM,1970,5264
Guatemala,GTM,1980,6650
Guatemala,GTM,1990,8966
Guatemala,GTM,2000,11085
Guinea,GIN,1800,983.959
Guinea,GIN,1820,983.959
Guinea,GIN,1850,1028.67493824
Guinea,GIN,1860,1081.28151041
Guinea,GIN,1870,1147.93840031
Guinea,GIN,1880,1230.87312534
Guinea,GIN,1890,1319.79960796
Guinea,GIN,1900,1387.29433418
Guinea,GIN,1910,1487.52172801
Guinea,GIN,1920,1610.90021403
Guinea,GIN,1930,1906.68156891
Guinea,GIN,1940,2191.07739544
Guinea,GIN,1950,2619
Guinea,GIN,1960,3118
Guinea,GIN,1970,3643
Guinea,GIN,1980,4447
Guinea,GIN,1990,6118
Guinea,GIN,2000,8350
Guinea-Bissau,GNB,1800,218.167
Guinea-Bissau,GNB,1820,218.167
Guinea-Bissau,GNB,1850,210.50796747400003
Guinea-Bissau,GNB,1860,216.909147864
Guinea-Bissau,GNB,1870,225.743365945
Guinea-Bissau,GNB,1880,242.052572064
Guinea-Bissau,GNB,1890,259.54006399
Guinea-Bissau,GNB,1900,278.290968948
Guinea-Bissau,GNB,1910,298.39656432
Guinea-Bissau,GNB,1920,316.791576851
Guinea-Bissau,GNB,1930,367.64955796
Guinea-Bissau,GNB,1940,422.48724119699995
Guinea-Bissau,GNB,1950,505
Guinea-Bissau,GNB,1960,554
Guinea-Bissau,GNB,1970,620.02
Guinea-Bissau,GNB,1980,789.053
Guinea-Bissau,GNB,1990,995.9910000000001
Guinea-Bissau,GNB,2000,1279
Guyana,GUY,1800,166.03400000000002
Guyana,GUY,1820,166.03400000000002
Guyana,GUY,1840,98
Guyana,GUY,1850,128
Guyana,GUY,1860,148
Guyana,GUY,1870,193
Guyana,GUY,1880,252
Guyana,GUY,1890,278
Guyana,GUY,1900,306
Guyana,GUY,1910,304
Guyana,GUY,1920,304
Guyana,GUY,1930,311
Guyana,GUY,1940,347
Guyana,GUY,1950,427.971
Guyana,GUY,1960,571.0830000000001
Guyana,GUY,1970,714.811
Guyana,GUY,1980,759.352
Guyana,GUY,1990,750.903
Guyana,GUY,2000,755.171
Haiti,HTI,1650,30
Haiti,HTI,1700,50
Haiti,HTI,1750,190
Haiti,HTI,1800,500
Haiti,HTI,1820,723
Haiti,HTI,1850,938
Haiti,HTI,1870,1150
Haiti,HTI,1900,1560
Haiti,HTI,1910,1809
Haiti,HTI,1920,2124
Haiti,HTI,1930,2422
Haiti,HTI,1940,2751
Haiti,HTI,1950,3097.22
Haiti,HTI,1960,3679
Haiti,HTI,1970,4541
Haiti,HTI,1980,5200
Haiti,HTI,1990,6289
Haiti,HTI,2000,7639
Honduras,HND,1750,96
Honduras,HND,1800,130
Honduras,HND,1820,135
Honduras,HND,1850,350
Honduras,HND,1870,404
Honduras,HND,1880,307
Honduras,HND,1890,399
Honduras,HND,1900,500
Honduras,HND,1910,619
Honduras,HND,1920,720
Honduras,HND,1930,950
Honduras,HND,1940,1150
Honduras,HND,1950,1431.4470000000001
Honduras,HND,1960,1951.64
Honduras,HND,1970,2760.6659999999997
Honduras,HND,1980,3401.94
Honduras,HND,1990,4792.271
Honduras,HND,2000,6347.658
Hungary,HUN,1500,1250
Hungary,HUN,1600,1250
Hungary,HUN,1650,1250
Hungary,HUN,1700,1500
Hungary,HUN,1750,2000
Hungary,HUN,1800,3250
Hungary,HUN,1820,4146
Hungary,HUN,1850,5161
Hungary,HUN,1870,5917
Hungary,HUN,1890,6622
Hungary,HUN,1900,7127
Hungary,HUN,1910,7644
Hungary,HUN,1920,7950
Hungary,HUN,1930,8649
Hungary,HUN,1940,9287
Hungary,HUN,1950,9338
Hungary,HUN,1960,9983.511999999999
Hungary,HUN,1970,10337.004
Hungary,HUN,1980,10711.122
Hungary,HUN,1990,10371.878
Hungary,HUN,2000,10137.449
Iceland,ISL,1750,46
Iceland,ISL,1800,61.428000000000004
Iceland,ISL,1820,61.428000000000004
Iceland,ISL,1840,57
Iceland,ISL,1850,59
Iceland,ISL,1860,67
Iceland,ISL,1870,70
Iceland,ISL,1880,72
Iceland,ISL,1890,71
Iceland,ISL,1900,78
Iceland,ISL,1910,88
Iceland,ISL,1920,98
Iceland,ISL,1930,109
Iceland,ISL,1940,121
Iceland,ISL,1950,142.938
Iceland,ISL,1960,175.86
Iceland,ISL,1970,204.104
Iceland,ISL,1980,228.16099999999997
Iceland,ISL,1990,254.71900000000002
Iceland,ISL,2000,281.043
India,IND,1500,110000
India,IND,1600,135000
India,IND,1700,165000
India,IND,1820,209000.013266
India,IND,1830,217576.583858
India,IND,1840,226505.10449
India,IND,1850,235800.01786199998
India,IND,1860,244248.661146
India,IND,1870,253000.01676199998
India,IND,1880,257200
India,IND,1890,279626
India,IND,1900,284500
India,IND,1910,302100
India,IND,1920,305600
India,IND,1930,336400
India,IND,1940,386800
India,IND,1950,359000
India,IND,1960,434000
India,IND,1970,541000
India,IND,1980,679000
India,IND,1990,839000
India,IND,2000,1004124
Iran,IRN,1500,4000
Iran,IRN,1600,5000
Iran,IRN,1700,5000
Iran,IRN,1800,6000
Iran,IRN,1820,6560
Iran,IRN,1850,7500
Iran,IRN,1870,8415
Iran,IRN,1890,9000
Iran,IRN,1900,10000
Iran,IRN,1910,10994
Iran,IRN,1920,9000
Iran,IRN,1930,12590
Iran,IRN,1940,15000
Iran,IRN,1950,16357
Iran,IRN,1960,21548
Iran,IRN,1970,28854
Iran,IRN,1980,39422
Iran,IRN,1990,56669
Iran,IRN,2000,63273
Iraq,IRQ,1500,1000
Iraq,IRQ,1600,1250
Iraq,IRQ,1700,1000
Iraq,IRQ,1800,1000
Iraq,IRQ,1820,1093
Iraq,IRQ,1850,1250
Iraq,IRQ,1860,1290
Iraq,IRQ,1870,1580
Iraq,IRQ,1890,1726
Iraq,IRQ,1900,2250
Iraq,IRQ,1910,2613
Iraq,IRQ,1920,3161
Iraq,IRQ,1930,3605
Iraq,IRQ,1940,3700
Iraq,IRQ,1950,5163.443
Iraq,IRQ,1960,6822.03
Iraq,IRQ,1970,9413.671
Iraq,IRQ,1980,13232.839
Iraq,IRQ,1990,18134.702
Iraq,IRQ,2000,22675.617000000002
Ireland,IRL,1500,800
Ireland,IRL,1600,1000
Ireland,IRL,1650,1750
Ireland,IRL,1700,1925
Ireland,IRL,1750,3000
Ireland,IRL,1800,5250
Ireland,IRL,1820,7101
Ireland,IRL,1830,7827
Ireland,IRL,1840,8349
Ireland,IRL,1850,6878
Ireland,IRL,1860,5821
Ireland,IRL,1870,5419
Ireland,IRL,1880,5203
Ireland,IRL,1890,4718
Ireland,IRL,1900,4469
Ireland,IRL,1910,4385
Ireland,IRL,1920,4361
Ireland,IRL,1930,2927
Ireland,IRL,1940,2958
Ireland,IRL,1950,2963.018
Ireland,IRL,1960,2832
Ireland,IRL,1970,2950.1
Ireland,IRL,1980,3401
Ireland,IRL,1990,3508.2
Ireland,IRL,2000,3791.69
Israel,ISR,1800,209.954
Israel,ISR,1850,209.954
Israel,ISR,1860,227.862
Israel,ISR,1870,272.23
Israel,ISR,1880,282.159
Israel,ISR,1890,318.717
Israel,ISR,1900,362.22
Israel,ISR,1910,415.745
Israel,ISR,1920,455.836
Israel,ISR,1930,588.805
Israel,ISR,1940,889.8660000000001
Israel,ISR,1950,1286.131
Israel,ISR,1960,2141.495
Israel,ISR,1970,2903.434
Israel,ISR,1980,3737.473
Israel,ISR,1990,4478
Israel,ISR,2000,6115
Italy,ITA,1500,10500
Italy,ITA,1600,13100
Italy,ITA,1650,11000
Italy,ITA,1700,13300
Italy,ITA,1750,15000
Italy,ITA,1800,19000
Italy,ITA,1820,20176
Italy,ITA,1830,21513
Italy,ITA,1840,22939
Italy,ITA,1850,24460
Italy,ITA,1860,26081
Italy,ITA,1870,27888
Italy,ITA,1880,29534
Italy,ITA,1890,31702
Italy,ITA,1900,33672
Italy,ITA,1910,36572
Italy,ITA,1920,37398
Italy,ITA,1930,40791
Italy,ITA,1940,44341
Italy,ITA,1950,47105
Italy,ITA,1960,50197.6
Italy,ITA,1970,53661.1
Italy,ITA,1980,56451.247
Italy,ITA,1990,56742.886
Italy,ITA,2000,57719.337
Jamaica,JAM,1700,50
Jamaica,JAM,1750,170
Jamaica,JAM,1800,300
Jamaica,JAM,1820,401
Jamaica,JAM,1840,377
Jamaica,JAM,1850,399
Jamaica,JAM,1860,441
Jamaica,JAM,1870,499
Jamaica,JAM,1880,581
Jamaica,JAM,1890,639
Jamaica,JAM,1900,720
Jamaica,JAM,1910,808
Jamaica,JAM,1920,855
Jamaica,JAM,1930,1009
Jamaica,JAM,1940,1212
Jamaica,JAM,1950,1384.55
Jamaica,JAM,1960,1631.7839999999999
Jamaica,JAM,1970,1943.787
Jamaica,JAM,1980,2228.803
Jamaica,JAM,1990,2347.922
Jamaica,JAM,2000,2615.467
Japan,JPN,1500,15400
Japan,JPN,1600,18500
Japan,JPN,1650,25000
Japan,JPN,1700,27000
Japan,JPN,1750,29000
Japan,JPN,1800,28000
Japan,JPN,1820,31000
Japan,JPN,1830,31329.811988
Japan,JPN,1840,31663.1328774
Japan,JPN,1850,32000
Japan,JPN,1860,33196.1443544
Japan,JPN,1870,34437
Japan,JPN,1880,36807
Japan,JPN,1890,40077
Japan,JPN,1900,44103
Japan,JPN,1910,49518
Japan,JPN,1920,55818
Japan,JPN,1930,64203
Japan,JPN,1940,72967
Japan,JPN,1950,83805
Japan,JPN,1960,94091.638
Japan,JPN,1970,104344.97300000001
Japan,JPN,1980,116807.30900000001
Japan,JPN,1990,123537.399
Japan,JPN,2000,126179
Jordan,JOR,1500,200
Jordan,JOR,1600,200
Jordan,JOR,1700,200
Jordan,JOR,1800,200
Jordan,JOR,1820,217
Jordan,JOR,1850,300
Jordan,JOR,1870,266
Jordan,JOR,1900,300
Jordan,JOR,1910,348
Jordan,JOR,1920,240
Jordan,JOR,1930,300
Jordan,JOR,1940,300
Jordan,JOR,1950,561.254
Jordan,JOR,1960,848.515
Jordan,JOR,1970,1502.9589999999998
Jordan,JOR,1980,2162.8070000000002
Jordan,JOR,1990,3262.054
Jordan,JOR,2000,4998.564
Kazakhstan,KAZ,1800,2041.2820000000002
Kazakhstan,KAZ,1820,2041.2820000000002
Kazakhstan,KAZ,1950,6693.23
Kazakhstan,KAZ,1960,9982.014000000001
Kazakhstan,KAZ,1970,13106.377
Kazakhstan,KAZ,1980,14966.718
Kazakhstan,KAZ,1990,16398.131
Kazakhstan,KAZ,2000,15032.14
Kenya,KEN,1500,1500
Kenya,KEN,1700,2000
Kenya,KEN,1800,2574
Kenya,KEN,1850,3352.89852523
Kenya,KEN,1860,3559.59195861
Kenya,KEN,1870,3779.02725551
Kenya,KEN,1880,4052.04938478
Kenya,KEN,1890,4344.79645331
Kenya,KEN,1900,4132.37992155
Kenya,KEN,1910,3813.44040919
Kenya,KEN,1920,3737.85437216
Kenya,KEN,1930,4424.17101727
Kenya,KEN,1940,5084.06923714
Kenya,KEN,1950,6077
Kenya,KEN,1960,8115
Kenya,KEN,1970,11247.181999999999
Kenya,KEN,1980,16331.401000000002
Kenya,KEN,1990,23354
Kenya,KEN,2000,30508
Kiribati,KIR,1800,17.875999999999998
Kiribati,KIR,1820,17.875999999999998
Kiribati,KIR,1950,33.448
Kiribati,KIR,1960,40.732
Kiribati,KIR,1970,48.898999999999994
Kiribati,KIR,1980,57.536
Kiribati,KIR,1990,71.34100000000001
Kiribati,KIR,2000,91.985
Kuwait,KWT,1800,81.28
Kuwait,KWT,1820,81.28
Kuwait,KWT,1870,81.28
Kuwait,KWT,1910,103.226
Kuwait,KWT,1950,144.774
Kuwait,KWT,1960,292.22900000000004
Kuwait,KWT,1970,747.502
Kuwait,KWT,1980,1369.769
Kuwait,KWT,1990,2142.011
Kuwait,KWT,2000,1973.5720000000001
Kyrgyzstan,KGZ,1800,530.3430000000001
Kyrgyzstan,KGZ,1820,530.3430000000001
Kyrgyzstan,KGZ,1950,1738.961
Kyrgyzstan,KGZ,1960,2171.285
Kyrgyzstan,KGZ,1970,2963.792
Kyrgyzstan,KGZ,1980,3622.728
Kyrgyzstan,KGZ,1990,4382.486
Kyrgyzstan,KGZ,2000,4851.054
Laos,LAO,1500,400
Laos,LAO,1800,470
Laos,LAO,1820,470
Laos,LAO,1870,755
Laos,LAO,1900,1500
Laos,LAO,1910,1387
Laos,LAO,1930,944
Laos,LAO,1940,1012
Laos,LAO,1950,1885.984
Laos,LAO,1960,2309.365
Laos,LAO,1970,2844.8509999999997
Laos,LAO,1980,3293.159
Laos,LAO,1990,4210.452
Laos,LAO,2000,5497.733
Latvia,LVA,1800,590.5880000000001
Latvia,LVA,1820,590.5880000000001
Latvia,LVA,1910,2552
Latvia,LVA,1920,1845
Latvia,LVA,1930,1900
Latvia,LVA,1940,1951
Latvia,LVA,1950,1936.4979999999998
Latvia,LVA,1960,2115.183
Latvia,LVA,1970,2361.159
Latvia,LVA,1980,2524.5429999999997
Latvia,LVA,1990,2663.59
Latvia,LVA,2000,2376.178
Lebanon,LBN,1500,250
Lebanon,LBN,1600,300
Lebanon,LBN,1700,300
Lebanon,LBN,1800,300
Lebanon,LBN,1820,332
Lebanon,LBN,1870,476
Lebanon,LBN,1900,500
Lebanon,LBN,1910,649
Lebanon,LBN,1950,1364.03
Lebanon,LBN,1960,1786.235
Lebanon,LBN,1970,2383.029
Lebanon,LBN,1980,3087
Lebanon,LBN,1990,3150
Lebanon,LBN,2000,3581
Lesotho,LSO,1800,276.361
Lesotho,LSO,1820,276.361
Lesotho,LSO,1850,177.88035966299998
Lesotho,LSO,1860,196.687179654
Lesotho,LSO,1870,217.482394985
Lesotho,LSO,1880,240.47623343599997
Lesotho,LSO,1890,265.901149615
Lesotho,LSO,1900,294.01417494
Lesotho,LSO,1910,346.108447851
Lesotho,LSO,1920,403.67054113800003
Lesotho,LSO,1930,496.998997104
Lesotho,LSO,1940,606.9360532630001
Lesotho,LSO,1950,734
Lesotho,LSO,1960,849.074
Lesotho,LSO,1970,1067.136
Lesotho,LSO,1980,1345
Lesotho,LSO,1990,1721
Lesotho,LSO,2000,2068
Liberia,LBR,1800,313.543
Liberia,LBR,1820,313.54
Liberia,LBR,1850,330.07330755
Liberia,LBR,1860,346.953300081
Liberia,LBR,1870,368.341650572
Liberia,LBR,1880,394.95310768400003
Liberia,LBR,1890,423.487153916
Liberia,LBR,1900,454.082689927
Liberia,LBR,1910,486.88865148400004
Liberia,LBR,1920,516.903483813
Liberia,LBR,1930,599.887595562
Liberia,LBR,1940,689.3653202910001
Liberia,LBR,1950,824
Liberia,LBR,1960,1052
Liberia,LBR,1970,1396.565
Liberia,LBR,1980,1848.979
Liberia,LBR,1990,2116.666
Liberia,LBR,2000,2695
Libya,LBY,1850,267.870173266
Libya,LBY,1860,296.191378255
Libya,LBY,1870,327.50690934700003
Libya,LBY,1880,362.133348722
Libya,LBY,1890,414.694158015
Libya,LBY,1900,479.592313615
Libya,LBY,1910,551.331342801
Libya,LBY,1920,619.241044984
Libya,LBY,1930,691.8367884319999
Libya,LBY,1940,792.33006885
Libya,LBY,1950,1029
Libya,LBY,1960,1349
Libya,LBY,1970,1999.162
Libya,LBY,1980,3065.365
